"id_concert","name","lieu","organised_by","nb_place","enfant","need_volunteers","soutien"
"1","Harmonie en Fusion","Bordeaux","dglac_gwppw","851","False","False","Trisomie 21"
"2","Éclats de Mélodie","Bordeaux","yvkkh_hytgq","179","False","False","Droits de l'homme"
"3","Symphonie Nocturne","Marseille","fqwby_keyuc","875","False","False","Santé mentale"
"4","Vibrations Celtiques","Paris","yaccb_tqkji","59","True","True","SIDA"
"5","Rythmes Urbains","Bordeaux","fqwby_keyuc","429","False","True","Environnement"
"6","Sérénade Sous les Étoiles","Bordeaux","yaccb_tqkji","458","False","False","Environnement"
"7","Mélodies Enchantées","Bordeaux","khssy_cjitw","128","True","False","Autisme"
"8","Jazz Fusion Express","Marseille","rzxey_clrgl","478","False","True","Santé mentale"
"9","Rhapsodie du Monde","Lille","adhmt_hpflc","753","True","True","Éducation"
"10","Concerto Magique","Paris","qiiaz_mmvsg","823","False","True","Santé mentale"
